InvoiceID,ItemID,RetailPrice,Quantity
146,31639,20,6
146,31650,20,6
146,31655,20,6
146,31659,20,6
147,31736,20,12
147,31639,20,6
147,31650,20,6
147,31655,25,6
147,31659,20,6
147,31708,60,4
147,31718,25,6
147,31722,50,2
148,31737,110,6
148,31751,250,6
148,31718,25,50
148,31720,65,6
148,31721,65,6
148,31724,65,6
148,31726,65,6
148,31731,200,6
148,31781,80,50
149,31669,10,24
149,31670,20,12
149,31650,20,6
149,31741,75,3
150,31782,350,1
151,31662,20,12
151,31670,20,24
151,31703,20,12
151,31704,20,12
151,31736,20,24
151,31636,25,24
151,31639,20,6
151,31640,20,12
151,31642,20,36
151,31644,20,12
151,31645,50,12
151,31646,20,24
151,31649,35,6
151,31650,20,6
151,31651,20,24
151,31653,25,24
151,31655,25,24
151,31657,20,24
151,31659,20,24
151,31661,20,12
151,31666,20,12
151,31667,20,12
151,31674,20,6
151,31676,20,6
151,31677,20,12
151,31679,20,12
151,31683,20,18
151,31684,20,36
151,31686,20,12
151,31687,20,6
151,31688,20,24
151,31689,20,12
151,31690,20,12
151,31691,20,12
151,31692,25,12
151,31693,20,24
151,31694,25,12
151,31705,20,24
151,31783,20,12
152,31740,150,50
153,31650,20,6
154,31684,20,12
154,31728,30,24
155,31736,20,24
155,31738,50,12
155,31636,25,12
155,31640,20,6
155,31641,20,6
155,31646,20,6
155,31650,20,6
155,31659,20,12
155,31677,20,6
155,31693,20,6
155,31694,25,6
155,31728,30,6
156,31669,10,24
156,31736,20,24
156,31636,25,6
156,31642,20,6
156,31650,20,6
156,31651,20,3
156,31677,20,6
156,31684,20,6
156,31690,20,6
156,31691,20,6
156,31694,25,6
156,31697,20,6
156,31699,20,6
156,31784,25,6
157,31745,140,1
157,31778,220,6
157,31720,65,6
157,31721,65,3
157,31775,250,1
158,31670,20,48
158,31703,20,12
158,31736,20,12
158,31738,50,12
158,31786,20,12
158,31642,20,24
158,31646,20,24
158,31657,20,24
158,31677,20,12
158,31684,20,12
158,31705,20,12
158,31773,60,6
158,31784,25,12
159,31778,220,6
159,31773,60,-6
160,31637,50,108
160,31638,100,48
161,31670,20,48
161,31738,50,24
161,31718,25,18
161,31722,60,12
161,31723,20,24
161,31766,15,42
161,31777,65,24
161,31787,20,6
162,31654,120,36
162,31706,40,24
163,31737,110,6
163,31747,80,3
163,31749,160,2
163,31778,220,2
163,31775,250,2
164,31737,110,6
164,31778,220,12
164,31740,150,6
165,31788,100,12
166,31670,20,48
167,31670,20,12
167,31642,20,6
167,31650,20,6
167,31653,25,6
167,31655,25,12
167,31666,20,6
167,31684,20,12
167,31708,60,6
167,31720,65,3
167,31721,65,3
167,31726,65,3
167,31784,25,12
168,31642,20,12
168,31657,20,12
168,31784,25,12
169,31709,120,6
170,31703,20,6
170,31704,20,12
170,31736,20,12
170,31786,20,6
170,31636,25,6
170,31639,20,6
170,31640,20,6
170,31642,20,12
170,31644,20,6
170,31645,50,12
170,31646,20,12
170,31651,20,12
170,31653,25,18
170,31655,25,18
170,31657,20,6
170,31659,20,12
170,31660,30,12
170,31661,20,6
170,31663,20,6
170,31666,20,6
170,31674,20,6
170,31677,20,6
170,31684,20,18
170,31688,20,6
170,31689,20,6
170,31690,20,12
170,31691,20,6
170,31692,25,6
170,31693,20,12
170,31694,25,12
170,31699,20,6
170,31700,30,6
170,31701,20,6
170,31702,20,6
170,31705,20,12
170,31728,30,12
170,31784,25,6
171,31646,20,24
171,31655,25,12
171,31657,20,12
171,31677,20,6
171,31690,20,12
171,31694,25,12
171,31700,30,12
172,31789,20,48
173,31640,20,24
173,31645,50,12
174,31737,110,3
174,31642,20,12
174,31643,50,12
174,31653,25,6
174,31657,20,6
174,31688,20,6
174,31691,20,12
174,31693,20,12
174,31705,20,12
174,31784,25,6
175,31703,20,12
175,31786,20,12
175,31640,20,12
175,31641,20,12
175,31677,20,12
175,31692,25,6
175,31693,20,12
175,31705,20,12
175,31728,30,6
175,31784,25,18
175,31790,25,18
176,31669,10,12
176,31670,20,6
176,31703,20,6
176,31640,20,6
176,31642,20,6
176,31646,20,6
176,31653,25,6
176,31666,20,6
176,31684,20,6
176,31687,20,6
176,31693,20,6
176,31697,20,6
176,31699,20,6
176,31728,30,6
176,31783,20,6
176,31784,25,12
177,31669,10,12
177,31703,20,24
177,31704,20,12
177,31736,20,24
177,31786,20,24
177,31646,20,12
177,31647,60,6
177,31653,25,12
177,31660,30,24
177,31666,20,12
177,31677,20,12
177,31690,20,12
177,31691,20,12
177,31728,30,24
177,31784,25,24
178,31669,10,12
178,31703,20,6
178,31704,20,6
178,31736,20,12
178,31786,20,6
178,31646,20,12
178,31653,25,6
178,31655,25,6
178,31684,20,12
178,31690,20,12
178,31694,25,12
178,31784,25,12
179,31669,10,24
179,31704,20,24
179,31736,20,12
179,31786,20,24
179,31642,20,24
179,31646,20,12
179,31653,25,24
179,31655,25,12
179,31660,30,12
179,31684,20,12
179,31690,20,12
179,31694,25,12
179,31728,30,12
179,31784,25,24
180,31669,10,48
180,31703,20,18
180,31704,20,12
180,31736,20,48
180,31786,20,12
180,31641,20,12
180,31642,20,24
180,31645,50,6
180,31653,25,12
180,31657,20,12
180,31660,30,6
180,31677,20,24
180,31690,20,24
180,31691,20,18
180,31693,20,24
180,31694,25,12
180,31699,20,12
180,31705,20,12
180,31728,30,48
180,31784,25,12
181,31669,10,24
181,31736,20,6
181,31641,20,6
181,31642,20,6
181,31646,20,12
181,31653,25,6
181,31684,20,6
181,31690,20,6
181,31694,25,12
181,31697,20,6
181,31784,25,12
182,31747,80,3
182,31748,80,3
182,31778,220,6
182,31739,300,3
182,31742,300,3
182,31775,250,6
183,31734,130,6
183,31737,110,12
183,31743,150,6
183,31750,80,6
183,31752,125,6
183,31731,200,6
184,31670,20,6
184,31672,40,12
184,31749,160,3
184,31778,220,3
184,31653,25,6
184,31655,25,6
184,31660,30,6
184,31694,25,6
184,31726,65,3
184,31728,30,6
184,31758,40,3
184,31775,250,3
185,31670,20,24
185,31672,40,12
185,31735,260,4
185,31745,140,2
185,31751,250,2
185,31778,220,6
185,31718,25,12
185,31739,300,2
185,31742,300,3
185,31775,250,4
186,31708,60,18
186,31791,30,24
187,31672,40,24
187,31703,20,12
187,31786,20,12
187,31792,200,1
187,31795,750,1
187,31797,400,1
187,31798,650,1
187,31799,200,1
187,31642,20,24
187,31644,20,12
187,31651,20,24
187,31655,25,24
187,31657,20,12
187,31659,20,12
187,31660,30,24
187,31677,20,24
187,31683,20,12
187,31684,20,36
187,31690,20,24
187,31693,20,36
187,31697,20,6
187,31708,60,6
187,31709,120,6
187,31728,30,36
187,31729,60,24
187,31796,750,1
188,31717,120,6
188,31738,50,12
188,31749,160,3
188,31751,250,2
188,31778,220,4
188,31728,30,6
188,31729,60,6
188,31732,400,3
188,31739,300,3
188,31742,300,2
189,31662,20,12
189,31640,20,12
189,31642,20,24
189,31643,50,12
189,31645,50,12
189,31660,30,12
189,31683,20,12
189,31690,20,12
189,31693,20,12
190,31672,40,3
190,31751,250,2
190,31778,220,2
190,31640,20,3
190,31641,20,3
190,31642,20,6
190,31645,50,3
190,31653,25,3
190,31657,20,3
190,31666,20,3
190,31674,20,3
190,31686,20,3
190,31691,20,6
190,31719,25,3
190,31720,65,2
190,31739,300,2
191,31786,20,24
191,31637,50,6
191,31641,20,12
191,31642,20,24
191,31643,50,12
191,31644,20,6
191,31646,20,24
191,31647,60,12
191,31648,150,6
191,31706,40,24
191,31784,25,12
192,31700,30,3
192,31719,25,6
192,31722,60,6
192,31789,20,36
192,31790,25,12
193,31713,80,3
193,31715,80,3
193,31735,260,3
193,31737,110,3
193,31747,80,3
193,31751,250,3
193,31757,80,6
193,31778,220,3
193,31719,25,6
193,31732,400,3
193,31739,300,3
