ItemID,ItemName,Unit,PrCd
31751,akhrot 200 gm,gm,A02
31752,akhrot 100 gm,gm,A02
31753,akhrot 50 gm,gm,A02
31798,akhrot 500 gm,gm,A02
31863,akhrot 400 gm,gm,A02
31966,akhrot 1 kg,kg,A02
32427,chicki akhrot squar,,A02
31749,anjeer 200 gm,gm,A06
31750,anjeer 100 gm,gm,A06
31797,anjeer 1 kg,kg,A06
31820,anjeer 50 gm,gm,A06
31834,anjeer 500gm,gm,A06
31921,anjeer 1000 gm,gm,A06
32181,anjeer 1 kg,kg,A06
31736,badam 16 gm,gm,B02
31737,badam 100 gm,gm,B02
31738,badam 50gm,gm,B02
31778,badam 200 gm,gm,B02
31782,badam 400 gm,gm,B02
31803,salted badam 50 gm,gm,B02
31825,asli badam,,B02
31838,badam 500 gm,gm,B02
31870,salted badam 100 gm,gm,B02
31871,asli badam bottle ,,B02
31890,salted badam 200 gm,gm,B02
31897,badam usa 100 gm,gm,B02
31902,asli badam 8 pc,pcs,B02
31932,badam 1 kg,kg,B02
31958,salted badam 1 kg,kg,B02
31960,badam usa-1 kg 1,kg,B02
31963,badam australian 1 kg,kg,B02
32090,badam 1 kg,kg,B02
32179,badam 150 gm,gm,B02
32280,badam usa    1 kg,kg,B02
32345,chicki badam glass box 1 pc,,B02
32380,chicki badam box,,B02
32391,chicki badam 1 pc,pcs,B02
32416,chicki badam 100 gm,gm,B02
31747,beej lamba 50 gm,gm,B06
31748,beej gol 150 gm,gm,B06
31833,beej gol 100 gm,gm,B06
31928,beej lamba 100 gm,gm,B06
31969,beej lamba 1 kg,kg,B06
32026,beej gol   1 kg,kg,B06
31899,chilgoza 90 gm,gm,C17
31923,chilgoza 45 gm,gm,C17
31924,chilgoza 150 gm,gm,C17
31965,chilgoza gold 1 kg,kg,C17
32433,chilgoza star gold 1 kg,kg,C17
32451,chilgoza 400 gm,gm,C17
31706,chuwara 100 gm,gm,C20
32012,chuwara 1 kg,kg,C20
32164,chuwara 1000 gm,gm,C20
32324,chuwara 200 gm,gm,C20
31725,gajac 200 gm,gm,G01
31917,gajac 100 gm,gm,G01
31971,gajak 1 kg,kg,G01
31660,goorh 200 gm,gm,G05
32028,goorh 1 kg,kg,G05
32078,goorh 400 gm,gm,G05
32061,honey 1 kg,kg,H02
32083,hony with dry firut 370,,H02
31739,kaju sada 200 gm ,gm,K01
31740,kaju sada 100 gm,gm,K01
31741,kaju sada 50 gm,gm,K01
31742,kaju fry 200 gm,gm,K01
31743,kaju fry 100gm,gm,K01
31744,kaju fry 50 gm,gm,K01
31795,kaju sada 500 gm ,gm,K01
31796,kaju fry 500 gm,gm,K01
31840,kaju sada 400 gm,gm,K01
31862,kaju fry 400gm,gm,K01
31961,kaju sada-240 1 kg,kg,K01
31964,kaju fry   1 kg,kg,K01
32174,kaju sada 150 gm,gm,K01
32175,kaju fry 150 gm,gm,K01
32273,kaju sada-320 1 kg,kg,K01
32344,chicki kaju glass box 1 pc,,K01
32381,chicki kaju box,,K01
32392,chicki kaju 1 pc,pcs,K01
32415,chicki kaju 100 gm ,gm,K01
32420,kaju sada 1 kg,kg,K01
31716,khajoor 250 gm,gm,K06
31717,khajoor blue box 500 gm,gm,K06
31842,khajoor 1 kg,kg,K06
31849,khajoor badam ,,K06
31896,khajoor badam 200gm,gm,K06
31898,khajoor bag 500 gm,gm,K06
31952,khajoor ajwaha 100 gm,gm,K06
31953,khajoor makroom 100 gm,gm,K06
31954,khajoor qalmi 100 gm,gm,K06
31956,khajoor amber 100 gm,gm,K06
31957,khajoor amber 200 gm,gm,K06
31985,khajoor ajwaha 200 gm,gm,K06
31986,khajoor qalmi 200 gm,gm,K06
31987,khajoor makroom 200 gm,gm,K06
32121,khajoor 100gm,gm,K06
32209,ajwa dates 200 gm,gm,K06
32210,mabrum dates 200 gm,gm,K06
32211,suferi dates 200 gm,gm,K06
32212,qalmi dates 200 gm,gm,K06
32226,khajoor ajwah 1 kg,kg,K06
32227,khajoor makroom 1 kg,kg,K06
32228,khajoor qalmi 1 kg,kg,K06
32229,khajoor amber 1 kg,kg,K06
32230,khajoor suferi 1 kg,kg,K06
32234,khajoor suafri ,,K06
32235,khajoor,,K06
32236,khajoor irani  box 400gm,gm,K06
32243,khajoor sanober plastic pack 200gm,gm,K06
32249,khajoor chailgoza plastic pack 200 gm,gm,K06
32250,khajoor box 150gm,gm,K06
32251,khajoor sohana bag 400gm,gm,K06
32252,khajoor sohana box 200gm,gm,K06
32253,khajoor sohana 250gm,gm,K06
32254,khajoor chailgoza 400gm,gm,K06
32255,khajoor irani box 200gm,gm,K06
32256,khajoor chailgoza box 200gm,gm,K06
32259,khajoor sohana plastic box 200gm,gm,K06
32260,khajoor 1kg,kg,K06
32395,ajwa dates 1 kg,kg,K06
31712,khubani goll 100 gm,gm,K08
31713,khubani goll 200 gm,gm,K08
31714,khubani chamra 1 kg,kg,K08
